薬品名,薬価,原価,在庫量,単位,在庫原価額,在庫薬価額,回転数,処方量,処方原価額,処方薬価額,差益額,差益率,他出庫量,他出庫額,入庫量,入庫金額,棚１,棚２,棚３,レセコン医薬品No,レセプト電算コード,経過措置期限,剤型,発注先,毒薬フラグ,劇薬フラグ,麻薬フラグ,向精神薬フラグ,覚醒剤フラグ,覚醒剤原料フラグ,後発品フラグ,ＹＪコード,一般名称
フォスブロック錠２５０ｍｇ H,14.40,11.73,553.000,錠,6487,7963,1.26,1227.000,14393,17669,3276,18.54,624.000,7320,1000.000,11731,i-5-,薬庫,,ﾌｵｽ03,610470003,,内服,ケーエスケー,0,0,0,0,0,0,0,2190025F1028,セベラマー塩酸塩錠
コタロー葛根湯エキス細粒 H2.500,9.80,8.91,727.500,ｇ,6482,7130,1.45,1355.000,12073,13280,1207,9.09,0.000,0,945.000,8416,薬庫２,薬庫,,ｺﾀﾛ13,615101194,,内服,スズケン,0,0,0,0,0,0,0,5200013C1039,葛根湯エキス細粒
サイトテック錠１００　１００μｇ H,13.00,12.30,527.000,錠,6482,6851,1.22,716.000,8807,9308,501,5.38,0.000,0,800.000,9840,I-5-1,薬庫,バラ,ｻｲﾄ03,610409353,,内服,メディセオ,0,1,0,0,0,0,0,2329024F2021,ミソプロストール錠
シベンゾリンコハク酸塩錠５０ｍｇ「サワイ」 H,10.30,8.65,748.000,錠,6470,7704,2.71,2296.000,19860,23649,3789,16.02,0.000,0,2100.000,19210,I-4-2,薬庫,,ｼﾍﾝ03,620005435,,内服,共和コーポレーション,0,1,0,0,0,0,1,2129007F1047,シベンゾリンコハク酸塩錠
バラシクロビル錠５００ｍｇ「ＳＰＫＫ」 H,76.70,67.21,96.000,錠,6452,7363,3.38,368.000,24733,28225,3492,12.37,0.000,0,336.000,22584,J-5-1,薬庫,,ﾊﾗｼ43,622863501,,内服,メディセオ,0,0,0,0,0,0,1,6250019F1365,バラシクロビル塩酸塩錠
フェブリク錠１０ｍｇ H,15.50,21.42,299.000,錠,6405,4635,0.18,49.000,1050,760,-290,-38.16,0.000,0,100.000,2142,C-8-3,薬庫,,ﾌｴﾌ01,622057201,,内服,スズケン,0,0,0,0,0,0,0,3949003F1023,フェブキソスタット錠
ミヤＢＭ錠 B,5.70,4.69,1364.000,錠,6397,7775,6.70,8585.000,40264,48938,8674,17.72,0.000,0,9200.000,43121,bara,薬庫,,ﾐﾔﾋ021,612370067,,内服,メディセオ,0,0,0,0,0,0,0,2316009F1022,酪酸菌製剤錠
メコバラミン錠５００「トーワ」　０．５ｍｇ H,5.70,4.73,1346.000,錠,6367,7672,-384.44,40174.000,190023,228996,38973,17.02,300.000,1419,41000.000,187644,H-1-4,薬庫,,ﾒｺﾊ08,613130553,,内服,東和,0,0,0,0,0,0,1,3136004F2081,メコバラミン錠
バルサルタン錠４０ｍｇ「日新」 B,10.10,7.58,839.500,錠,6363,8479,1.18,969.000,7345,9786,2441,24.94,0.000,0,1000.000,7580,bara,薬庫,,ﾊﾙｻ581,622343201,,内服,共和コーポレーション,0,0,0,0,0,0,1,2149041F2299,バルサルタン錠
ミオコールスプレー０．３ｍｇ　０．６５％７．２ｇ H,1161.60,1271.30,5.000,缶,6357,5808,1.00,8.000,10170,9295,-875,-9.41,0.000,0,1.000,1271,j-8-,薬庫,,ﾐｵｺ05,620004829,,外用,アルフレッサ,0,1,0,0,0,0,0,2171701R4038,ニトログリセリン噴霧剤
モンテルカスト錠１０ｍｇ「日新」 H,15.60,14.00,454.000,錠,6356,7082,16.23,10721.000,150094,167246,17152,10.26,350.000,5432,10500.000,164822,G-6-6,薬庫,バラ,ﾓﾝﾃ50,622519501,,内服,共和コーポレーション,0,0,0,0,0,0,1,4490026F2296,モンテルカストナトリウム錠
アゾセミド錠６０ｍｇ「ＪＧ」 H,12.30,10.92,582.000,錠,6355,7159,5.68,2513.000,27442,30907,3465,11.21,0.000,0,2500.000,29324,C-3-2,薬庫,バラ,ｱｿｾ03,620270703,,内服,ケーエスケー,0,0,0,0,0,0,1,2139008F1064,アゾセミド錠
コタロー桃核承気湯エキス細粒 H2.000,12.80,11.25,564.000,ｇ,6345,7219,4.89,3210.000,36113,41088,4975,12.11,210.000,2445,3234.000,37455,薬庫２,薬庫,,ｺﾀﾛ58,615101236,,内服,スズケン,0,0,0,0,0,0,0,5200106C1037,桃核承気湯エキス細粒
ヒューマログ注ミリオペン　３００単位 B,1184.00,1055.50,6.000,キット,6333,7104,8.62,56.000,59108,66304,7196,10.85,0.000,0,55.000,58053,REI-2-,薬庫,,ﾋﾕﾏ33,620007460,,注射,メディセオ,0,1,0,0,0,0,0,2492414G5024,インスリン　リスプロ（遺伝子組換え）キット
シュアポスト錠０．５ｍｇ H,31.60,28.98,218.000,錠,6318,6889,1.30,252.000,7303,7964,661,8.30,0.000,0,300.000,8694,a-2-,薬庫,,ｼﾕｱ04,622041001,2025/03/31,内服,ケーエスケー,,,,,,,,,
クロベタゾールプロピオン酸エステル軟膏０．０５％「ＭＹＫ」 B,11.70,7.34,860.000,ｇ,6312,10062,0.06,40.000,294,468,174,37.18,0.000,0,,,zaiko-nasi,薬庫,,ｸﾛﾍ221,620615908,,外用,日医工オオサカ,0,1,0,0,0,0,1,2646713M1209,クロベタゾールプロピオン酸エステル軟膏
トアラセット配合錠「オーハラ」 H,7.90,7.11,886.000,錠,6299,6999,5.25,6310.000,44864,49852,4988,10.01,0.000,0,5500.000,42615,H-8-6,薬庫,,ﾄｱﾗ10,622666801,,内服,スズケン,0,1,0,0,0,0,1,1149117F1128,トラマドール塩酸塩・アセトアミノフェン配合剤錠
タケキャブ錠２０ｍｇ B,144.80,128.53,49.000,錠,6298,7095,-247.27,5625.500,723046,814570,91524,11.24,2.000,258,5535.000,711403,bara,薬庫,,ﾀｹｷ021,622404501,,内服,メディセオ,0,0,0,0,0,0,0,2329030F2027,ボノプラザンフマル酸塩錠
リボスチン点鼻液０．０２５ｍｇ１１２噴霧用　０．０２５％１５ｍＬ H,538.50,483.00,13.000,瓶,6279,7001,0.55,6.000,2898,3232,334,10.33,0.000,0,,,a-8-,薬庫,,ﾘﾎｽ03,620005311,,外用,スズケン,0,0,0,0,0,0,0,1329708Q1038,レボカバスチン塩酸塩液
エペリゾン塩酸塩錠５０ｍｇ「日新」 H,5.90,4.90,1280.000,錠,6272,7552,2.18,3829.000,18762,22592,3830,16.95,0.000,0,3000.000,14100,H-8-1,薬庫,,ｴﾍﾘ10,620193028,,内服,共和コーポレーション,0,0,0,0,0,0,1,1249009F1430,エペリゾン塩酸塩錠
トコフェロールニコチン酸エステルカプセル１００ｍｇ「トーワ」 B,5.50,4.68,1340.000,カプセル,6271,7370,2.39,2828.000,13235,15558,2323,14.93,0.000,0,3080.000,13832,bara,薬庫,,ﾄｺﾌ101,620353101,,内服,東和,0,0,0,0,0,0,1,2190006M1210,トコフェロールニコチン酸エステルカプセル
セイブルＯＤ錠５０ｍｇ H,22.30,22.28,281.000,錠,6261,6266,,,,,,,,,,,a-3-,薬庫,,ｾｲﾌ04,622426601,,内服,スズケン,0,0,0,0,0,0,0,3969009F4022,ミグリトール口腔内崩壊錠
【ツ０５７】ツムラ温清飲エキス顆粒（医療用） H2.500,15.20,13.90,449.500,ｇ,6248,6832,1.05,607.500,8444,9234,790,8.56,157.500,2129,507.500,6877,薬庫１,薬庫,,ﾂﾑﾗ06,615101401,,内服,ケーエスケー,0,0,0,0,0,0,0,5200006D1042,温清飲エキス顆粒
プロスタール錠２５　２５ｍｇ H,41.10,38.79,160.000,錠,6206,6576,,,,,,,,,100.000,3879,中央ﾒﾃﾞｨｶﾙ,薬庫,,,612470037,,内服,,0,0,0,0,0,0,0,2478001F2179,クロルマジノン酢酸エステル錠
アシクロビルＤＳ８０％「ＮＫ」 B,129.90,110.12,56.350,ｇ,6205,7320,0.80,43.650,4807,5670,863,15.22,2.500,298,52.500,5804,S-1,薬庫,,ｱｼｸ84,621489901,,内服,メディセオ,0,0,0,0,0,0,1,6250002R1056,アシクロビルシロップ用
プログラフカプセル１ｍｇ H,390.00,387.28,16.000,カプセル,6196,6240,10.00,210.000,81329,81900,571,0.70,0.000,0,200.000,77456,c-2-,薬庫,,ﾌﾛｸ08,613990096,,内服,スズケン,0,1,0,0,0,0,0,3999014M1022,タクロリムス水和物カプセル
カペシタビン錠３００ｍｇ「ヤクルト」 H,60.80,55.27,112.000,錠,6190,6810,1.50,168.000,9285,10214,929,9.10,0.000,0,280.000,16073,zaiko-nasi,薬庫,,ｶﾍｼ04,622679001,,内服,ケーエスケー,0,1,0,0,0,0,1,4223005F1065,カペシタビン錠
アクトス錠１５　１５ｍｇ H,26.40,29.44,210.000,錠,6182,5544,1.43,301.000,8861,7947,-914,-11.50,0.000,0,300.000,8832,a-3-,薬庫,,ｱｸﾄ04,610432040,,内服,ケーエスケー,0,0,0,0,0,0,0,3969007F1024,ピオグリタゾン塩酸塩錠
ボノサップパック４００ H,492.40,438.29,14.000,シート,6136,6894,6.67,70.000,30680,34470,3790,11.00,0.000,0,70.000,30680,J-3-6,薬庫,,ﾎﾉｻ01,622485401,,内服,ケーエスケー,0,0,0,0,0,0,0,6199104X1023,ボノプラザンフマル酸塩・アモキシシリン水和物・クラリスロマイシンシート
シクロスポリンカプセル５０ｍｇ「ＶＴＲＳ」 H,109.80,97.38,63.000,カプセル,6135,6917,,,,,,,,,,,デッド,薬庫,,ｼｸ271,621483705,,内服,,0,1,0,0,0,0,1,3999004M5148,シクロスポリンカプセル
クラリスロマイシン錠２００ｍｇ「サワイ」 H,22.80,20.04,306.000,錠,6132,6977,4.68,2950.000,59118,67255,8137,12.10,0.000,0,2600.000,53668,G-9-2,薬庫,,ｸﾗﾘ25,620003930,,内服,共和コーポレーション,0,0,0,0,0,0,0,6149003F2100,クラリスロマイシン錠
【ツ１３６】ツムラ清暑益気湯エキス顆粒（医療用） H2.500,21.60,19.42,315.000,ｇ,6117,6804,0.13,52.500,1020,1134,114,10.05,105.000,2040,,,薬庫１,薬庫,,ﾂﾑﾗ70,615101462,,内服,ケーエスケー,0,0,0,0,0,0,0,5200085D1020,清暑益気湯エキス顆粒
レルミナ錠４０ｍｇ H,858.10,763.69,8.000,錠,6110,6865,12.75,102.000,77896,87526,9630,11.00,0.000,0,110.000,84006,c-6-,薬庫,,ﾚﾙﾐ01,622670601,,内服,メディセオ,0,1,0,0,0,0,0,2499013F1027,レルゴリクス錠
ニコチン酸アミド散１０％「ゾンネ」 B,10.70,9.66,632.300,ｇ,6108,6766,0.28,126.000,1217,1348,131,9.72,0.000,0,500.000,4830,S-2,薬庫,,ﾆｺﾁ12,620007009,,内服,スズケン,0,0,0,0,0,0,0,3132002B1034,ニコチン酸アミド散
カルボシステインＤＳ５０％「タカタ」 B,12.50,11.25,540.858,ｇ,6085,6761,8.34,4215.252,47422,52698,5276,10.01,0.000,0,4500.000,52001,S-1,薬庫,,ｶﾙﾎ521,621973701,,内服,スズケン,0,0,0,0,0,0,1,2233002R2037,Ｌ－カルボシステインシロップ用
フェキソフェナジン塩酸塩錠６０ｍｇ「ＳＡＮＩＫ」 H,28.70,23.82,255.000,錠,6074,7319,53.28,40574.000,966473,1164478,198005,17.00,100.000,2382,39000.000,983499,G-4-2,薬庫,バラ,ﾌｴｷ29,622249101,,内服,日医工オオサカ,0,0,0,0,0,0,1,4490023F1091,フェキソフェナジン塩酸塩錠
アレグラ錠３０ｍｇ H,24.30,22.73,266.000,錠,6046,6464,0.70,180.000,4091,4374,283,6.47,0.000,0,200.000,4546,e-1-,薬庫,,ｱﾚｸ02,620004412,,内服,メディセオ,0,0,0,0,0,0,0,4490023F2020,フェキソフェナジン塩酸塩錠
ミグリトールＯＤ錠５０ｍｇ「サワイ」 H,10.60,9.15,660.500,錠,6044,7001,114.44,31842.500,291359,337532,46173,13.68,2.000,20,30500.000,298115,A-8-5,薬庫,バラ,ﾐｸﾘ07,622560301,,内服,スズケン,0,0,0,0,0,0,1,3969009F4030,ミグリトール口腔内崩壊錠
フェブリク錠４０ｍｇ H,53.30,92.50,65.000,錠,6013,3465,,,,,,,,,65.000,6013,デッド,,,,622057401,,内服,,0,0,0,0,0,0,0,3949003F3026,フェブキソスタット錠
カロナール細粒２０％ B,12.20,10.75,558.000,ｇ,5999,6808,0.38,171.000,1838,2086,248,11.89,0.000,0,300.000,3249,S-2,薬庫,,ｶﾛﾅ02,620002022,,内服,ケーエスケー,0,1,0,0,0,0,0,1141007C1075,アセトアミノフェン細粒
アレビアチン散１０％ B,12.10,10.77,556.100,ｇ,5989,6729,0.85,453.800,4887,5492,605,11.02,0.000,0,500.000,5385,S-1,薬庫,,ｱﾚﾋ07,610421006,,内服,アルフレッサ,0,1,0,0,0,0,0,1132002B1060,フェニトイン散
エンシュア・リキッド（ストロベリー）,0.71,0.63,9500.000,ｍＬ,5985,6745,11.39,239250.000,150728,169871,19143,11.27,1000.000,640,217250.000,138464,O- -,薬庫,,ｴﾝｼ041,613250027,,内服,メディセオ,0,0,0,0,0,0,0,3259109S1025,経腸成分栄養剤液
クロモグリク酸Ｎａ吸入液１％「サワイ」　２ｍＬ H,32.90,29.90,200.000,管,5980,6580,0.97,280.000,8372,9213,841,9.13,135.000,4038,240.000,7176,a-8-,薬庫,,ｸﾛﾓ07,621556501,,外用,共和コーポレーション,0,0,0,0,0,0,0,2259701G1071,クロモグリク酸ナトリウム吸入剤
アゾセミド錠３０ｍｇ「ＪＧ」 H,10.10,8.97,666.500,錠,5979,6732,15.93,7377.000,66172,74510,8338,11.19,0.000,0,7200.000,64884,C-3-1,薬庫,バラ,ｱｿｾ02,622161502,,内服,ケーエスケー,0,0,0,0,0,0,1,2139008F2044,アゾセミド錠
アルダクトンＡ錠５０ｍｇ H,31.30,29.77,200.000,錠,5954,6260,,,,,,,,,200.000,5954,なし,,,,612130039,,内服,,0,0,0,0,0,0,0,2133001F2057,スピロノラクトン錠
アーチスト錠２．５ｍｇ H,12.90,12.43,478.000,錠,5942,6166,1.21,609.000,7570,7856,286,3.64,0.000,0,,,D-2-4,薬庫,,ｱﾁｽ04,610462040,,内服,スズケン,0,0,0,0,0,0,0,2149032F4020,カルベジロール錠
新レシカルボン坐剤 H,70.90,63.08,94.000,個,5930,6665,2.61,222.000,14004,15743,1739,11.05,0.000,0,240.000,15140,REI-3-,薬庫,,ﾚｼｶ01,662350104,,外用,アルフレッサ,0,0,0,0,0,0,0,2359800J1035,炭酸水素ナトリウム・無水リン酸二水素ナトリウム坐剤
ラメルテオン錠８ｍｇ「武田テバ」 H,24.40,20.04,295.000,錠,5912,7198,9.00,2713.000,54369,66199,11830,17.87,0.000,0,2700.000,56008,G-7-4,薬庫,,ﾗﾒﾙ01,622908301,,内服,メディセオ,0,0,0,0,0,0,1,1190016F1032,ラメルテオン錠
テグレトール細粒５０％ B,22.20,19.77,298.900,ｇ,5909,6636,1.21,290.100,5735,6440,705,10.95,10.000,198,400.000,7908,S-1,薬庫,,ﾃｸﾚ01,620002065,,内服,メディセオ,0,0,0,0,0,0,0,1139002C1082,カルバマゼピン細粒
ニゾラールクリーム２％ H10.000,18.40,17.38,340.000,ｇ,5909,6256,2.00,580.000,10080,10672,592,5.55,80.000,1390,800.000,13900,K,薬庫,,ﾆｿﾗ03,620005277,,外用,スズケン,0,0,0,0,0,0,0,2655709N1053,ケトコナゾールクリーム
ニコランジル錠５ｍｇ「トーワ」 B,5.90,5.07,1165.000,錠,5907,6874,32.71,6395.000,32423,37733,5310,14.07,0.000,0,7000.000,33390,bara,薬庫,,ﾆｺﾗ281,620325301,,内服,東和,0,0,0,0,0,0,1,2171017F2172,ニコランジル錠
ヒダントール錠２５ｍｇ H,11.90,10.47,562.000,錠,5884,6688,8.56,1533.000,16051,18244,2193,12.02,100.000,1047,1400.000,14658,J-5-5,薬庫,バラ,ﾋﾀﾝ06,611130095,,内服,ケーエスケー,0,0,0,0,0,0,0,1132002F1029,フェニトイン錠
ランソプラゾールＯＤ錠３０ｍｇ「トーワ」 B,20.80,16.55,354.000,錠,5859,7363,3.05,1730.000,28632,35989,7357,20.44,0.000,0,1500.000,24825,bara,薬庫,,ﾗﾝｿ161,620009452,,内服,東和,0,0,0,0,0,0,1,2329023F2078,ランソプラゾール腸溶性口腔内崩壊錠
メトクロプラミド錠５ｍｇ「タカタ」 H,5.70,5.18,1129.000,錠,5848,6435,3.25,2280.000,11810,12999,1189,9.15,0.000,0,3130.000,16197,J-3-5,薬庫,バラ,ﾒﾄｸ16,620500202,,内服,メディセオ,0,0,0,0,0,0,1,2399004F1260,メトクロプラミド錠
メマンチン塩酸塩ＯＤ錠２０ｍｇ「ＴＣＫ」 H,74.50,55.00,105.500,錠,5803,7860,5.47,577.500,31763,43022,11259,26.17,0.000,0,564.000,31020,I-2-6,薬庫,,ﾒﾏ182,622793301,,内服,辰巳,0,1,0,0,0,0,1,1190018F6076,メマンチン塩酸塩口腔内崩壊錠
スマトリプタン錠５０ｍｇ「アメル」 H,142.10,138.00,42.000,錠,5796,5968,5.43,250.000,34500,35524,1024,2.88,10.000,1380,252.000,34776,c-5-,薬庫,,ｽﾏﾄ08,622201001,,内服,共和コーポレーション,0,1,0,0,0,0,1,2160003F1103,スマトリプタンコハク酸塩錠
【ク０３４】クラシエ白虎加人参湯エキス錠 H,13.50,12.27,472.000,錠,5791,6372,0.70,504.000,6184,6804,620,9.11,0.000,0,,,薬庫２,薬庫,,ｸﾗｼ63,620005418,,内服,メディセオ,0,0,0,0,0,0,0,5200125F1036,白虎加人参湯エキス錠
イムラン錠５０ｍｇ H,78.80,74.97,77.000,錠,5773,6068,5.15,524.000,39284,41288,2004,4.85,25.000,1874,400.000,29988,D-4-2,薬庫,,ｲﾑﾗ02,620006560,,内服,ケーエスケー,0,0,0,0,0,0,0,3999005F1059,アザチオプリン錠
ウラリット配合錠 H,7.00,6.66,864.000,錠,5754,6048,1.65,1105.000,7359,7735,376,4.86,8.000,53,1500.000,9990,D-6-1,薬庫,,ｳﾗﾘ05,620858001,,内服,ケーエスケー,0,0,0,0,0,0,0,3949101F1073,クエン酸カリウム・クエン酸ナトリウム水和物錠
デパケン錠２００ｍｇ H,10.10,8.45,681.000,錠,5754,6878,5.28,3627.000,30648,36634,5986,16.34,0.000,0,2800.000,23660,J-7-3,薬庫,,ﾃﾊｹ14,620065701,,内服,ケーエスケー,0,0,0,0,0,0,0,1139004F2173,バルプロ酸ナトリウム錠
ストロメクトール錠３ｍｇ H,595.00,523.00,11.000,錠,5753,6545,12.23,159.000,83157,94605,11448,12.10,5.000,2975,150.000,80920,c-5-,薬庫,,ｽﾄﾛ07,610462042,,内服,アルフレッサ,0,1,0,0,0,0,0,6429008F1020,イベルメクチン錠
レミニールＯＤ錠８ｍｇ H,100.80,102.36,56.000,錠,5732,5645,,,,,,,,,,,zaiko-nasi,薬庫,,ﾚﾐﾆ06,622046201,,内服,ケーエスケー,0,1,0,0,0,0,0,1190019F5023,ガランタミン臭化水素酸塩口腔内崩壊錠
コタロー桂枝加芍薬湯エキス細粒 H2.500,6.50,5.70,1005.000,ｇ,5729,6533,0.29,247.500,1411,1610,199,12.36,420.000,2394,945.000,5388,薬庫２,薬庫,,ｺﾀﾛ20,615101200,,内服,スズケン,0,0,0,0,0,0,0,5200032C1031,桂枝加芍薬湯エキス細粒
デュロキセチンカプセル２０ｍｇ「アメル」 H,28.70,22.50,254.000,カプセル,5715,7290,10.48,2558.000,57555,73414,15859,21.60,120.000,2988,2500.000,61290,I-5-5,薬庫,バラ,ﾃﾕﾛ18,622862701,,内服,共和コーポレーション,0,1,0,0,0,0,1,1179052M1073,デュロキセチン塩酸塩カプセル
タルチレリンＯＤ錠５ｍｇ「ＪＧ」 H,225.70,203.50,28.000,錠,5698,6320,,,,,,,,,28.000,5698,e-3-,,,,622257601,,内服,,0,0,0,0,0,0,1,1190014F2048,タルチレリン水和物口腔内崩壊錠
ポラプレジンクＯＤ錠７５ｍｇ「サワイ」 H,14.30,13.00,438.000,錠,5694,6263,0.30,84.000,1092,1200,108,9.00,0.000,0,400.000,5200,d-7-,薬庫,,ﾎﾗﾌ08,622010901,,内服,ケーエスケー,0,0,0,0,0,0,1,2329027F1037,ポラプレジンク口腔内崩壊錠
ラシックス錠２０ｍｇ H,9.80,7.90,720.500,錠,5692,7061,0.54,506.500,4001,4963,962,19.38,0.000,0,74.000,585,C-9-1,薬庫,バラ,ﾗｼﾂ03,620000167,,内服,日医工オオサカ,0,0,0,0,0,0,0,2139005F1052,フロセミド錠
コタロー竜胆瀉肝湯エキス細粒 H3.000,11.00,6.63,858.000,ｇ,5689,9438,0.00,0.000,0,0,0,0.00,0.000,0,,,薬庫２,薬庫,,ｺﾀﾛ83,615101260,,内服,スズケン,0,0,0,0,0,0,0,5200142C1025,竜胆瀉肝湯エキス細粒
アスタット軟膏１％ H10.000,21.20,17.77,320.000,ｇ,5686,6784,6.79,2650.000,47091,56180,9089,16.18,0.000,0,2200.000,44154,K,薬庫,,ｱｽﾀ07,620008958,,外用,ケーエスケー,0,0,0,0,0,0,0,2655710M1034,ラノコナゾール軟膏
ピートルチュアブル錠２５０ｍｇ H,146.30,135.10,42.000,錠,5674,6145,3.98,504.000,68090,73735,5645,7.66,0.000,0,336.000,45392,f-1-,薬庫,,ﾋﾄﾙ01,622442301,,内服,スズケン,0,0,0,0,0,0,0,2190036F1026,スクロオキシ水酸化鉄チュアブル錠
イミダプリル塩酸塩錠５ｍｇ「サワイ」 H,16.20,13.50,419.500,錠,5663,6796,3.18,1242.500,16774,20131,3357,16.68,0.000,0,1100.000,15650,D-4-1,薬庫,,ｲﾐﾀ32,620008461,,内服,共和コーポレーション,0,0,0,0,0,0,1,2144008F2141,イミダプリル塩酸塩錠
セルタッチパップ７０　１０ｃｍ×１４ｃｍ H7.000,17.10,14.19,399.000,枚,5662,6823,3.23,1358.000,19270,23219,3949,17.01,84.000,1355,1400.000,19872,ﾌﾟﾘﾝﾀ下,薬庫,,ｾﾙﾀ03,620007662,,外用,ケーエスケー,0,0,0,0,0,0,0,2649731S1143,フェルビナク貼付剤
ビソプロロールフマル酸塩錠２．５ｍｇ「日医工」 H,10.10,7.42,761.500,錠,5650,7691,7.45,8973.500,66583,90637,24054,26.54,800.000,5960,9000.000,67024,C-7-4,薬庫,,ﾋｿﾌ23,621399602,,内服,日医工オオサカ,0,0,0,0,0,0,1,2123016F1131,ビソプロロールフマル酸塩錠
イトリゾールカプセル５０　５０ｍｇ H,134.70,134.32,42.000,カプセル,5641,5657,,,,,,,,,,,e-1-,薬庫,,ｲﾄﾘ01,616290177,,内服,ケーエスケー,0,0,0,0,0,0,0,6290004M1029,イトラコナゾールカプセル
リザトリプタンＯＤ錠１０ｍｇ「ＴＣＫ」 H,136.20,134.00,42.000,錠,5628,5720,1.67,60.000,8040,8172,132,1.62,0.000,0,72.000,9648,c-3-,薬庫,,ﾘｻﾄ01,622541301,,内服,辰巳,0,1,0,0,0,0,1,2160006F2030,リザトリプタン安息香酸塩口腔内崩壊錠
バルプロ酸ナトリウムＳＲ錠２００ｍｇ「アメル」 H,12.30,10.96,512.000,錠,5612,6298,7.29,4567.000,50054,56174,6120,10.89,210.000,2302,4700.000,51512,J-5-4,薬庫,,ﾊﾙﾌ09,620004028,,内服,共和コーポレーション,0,0,0,0,0,0,0,1139004G2055,バルプロ酸ナトリウム徐放錠
フェンタニルクエン酸塩１日用テープ２ｍｇ「第一三共」 H1.000,464.40,399.42,14.000,枚,5592,6502,1.50,21.000,8388,9753,1365,14.00,0.000,0,35.000,13980,zaiko-nasi,薬庫,,ﾌｴ158,622643201,,外用,スズケン,0,1,1,0,0,0,1,8219701S2030,フェンタニルクエン酸塩貼付剤
エクセグラン散２０％ B,33.40,31.94,174.400,ｇ,5570,5825,1.88,421.600,13466,14083,617,4.38,0.000,0,300.000,9582,S-1,薬庫,,ｴｸｾ01,620001972,,内服,アルフレッサ,0,1,0,0,0,0,0,1139005B1048,ゾニサミド散
メトアナ配合錠ＬＤ H,43.60,39.47,141.000,錠,5565,6148,4.77,1064.000,41996,46390,4394,9.47,0.000,0,900.000,35523,a-2-,薬庫,,ﾒﾄｱ02,622654501,,内服,スズケン,0,1,0,0,0,0,0,3969109F1021,アナグリプチン・メトホルミン塩酸塩配合剤錠
ブシ末（調剤用）「ツムラ」 B,12.20,11.09,500.000,ｇ,5545,6100,,,,,,,,,,,S-1,薬庫,,ﾌｼﾁ01,620005529,,内服,,0,1,0,0,0,0,0,5900004A1053,ブシ末
グランダキシン錠５０　５０ｍｇ H,9.10,8.86,625.000,錠,5538,5688,1.83,966.000,8559,8790,231,2.63,0.000,0,1058.000,9386,D-6-3,薬庫,,ｸﾗﾝ02,611170639,,内服,ケーエスケー,0,0,0,0,0,0,0,1124026F1022,トフィソパム錠
ダイアップ坐剤６　６ｍｇ H,62.10,58.18,95.000,個,5527,5900,1.00,126.000,7331,7825,494,6.31,36.000,2158,100.000,5818,k-2-,薬庫,,ﾀｲｱ08,661120011,,外用,ケーエスケー,0,0,0,3,0,0,0,1124701J2029,ジアゼパム坐剤
インデラル錠１０ｍｇ H,10.10,8.72,633.000,錠,5520,6393,0.63,352.000,3069,3555,486,13.67,0.000,0,500.000,4360,I-9-5,薬庫,,ｲﾝﾃ26,612120016,,内服,メディセオ,0,1,0,0,0,0,0,2123008F1048,プロプラノロール塩酸塩錠
ネリザ軟膏 H2.000,24.20,18.82,293.000,ｇ,5514,7091,0.50,168.000,3162,4065,903,22.21,84.000,1848,314.000,6799,j-8-,薬庫,,ﾈﾘｻ02,621985301,,外用,スズケン,0,1,0,0,0,0,1,2559814M1042,ジフルコルトロン吉草酸エステル・リドカイン軟膏
ナノパスニードルⅡ ３４Ｇ×４ｍｍ,18.00,15.75,350.000,本,5513,6300,2.00,560.000,8820,10080,1260,12.50,0.000,0,700.000,11656,電話下,薬庫,,ｼﾝ007,710010095,,特定保険医療材料,,,,,,,,,,
ザルティア錠２．５ｍｇ H,60.80,54.99,100.000,錠,5499,6080,0.70,70.000,3849,4256,407,9.56,0.000,0,170.000,9349,zaiko-nasi,薬庫,,ｻﾙﾃ01,622306401,,内服,スズケン,0,0,0,0,0,0,0,2590016F1020,タダラフィル錠
ナルサス錠２ｍｇ H,206.60,181.50,30.000,錠,5445,6198,1.00,30.000,5445,6198,753,12.15,0.000,0,60.000,11435,麻薬,薬庫,,ﾅﾙｻ01,622549801,,内服,,0,1,1,0,0,0,0,8119003G1029,ヒドロモルフォン塩酸塩徐放錠
ｌ－メントール「ホエイ」 B,26.90,25.80,210.000,ｇ,5418,5649,0.07,15.000,387,404,17,4.21,20.000,516,,,REI-3-,薬庫,,ﾒﾝﾄ07,617140046,2025/03/31,内服,スズケン,,,,,,,,,
オルメサルタンＯＤ錠２０ｍｇ「ＤＳＥＰ」 B,20.20,16.48,328.000,錠,5405,6626,10.76,4706.000,77555,95064,17509,18.42,0.000,0,4500.000,81279,bara,薬庫,,ｵﾙﾒ111,622571301,,内服,ケーエスケー,0,0,0,0,0,0,1,2149044F6034,オルメサルタン　メドキソミル口腔内崩壊錠
アルファカルシドール錠１．０μｇ「アメル」 H,5.90,5.22,1035.000,錠,5403,6107,3.04,2728.500,14243,16102,1859,11.55,0.000,0,3000.000,15110,I-9-2,薬庫,,ｱﾙﾌ85,620675801,,内服,共和コーポレーション,0,1,0,0,0,0,1,3112001F3066,アルファカルシドール錠
ＭＳ温シップ「タイホウ」 H100.000,0.86,0.73,7400.000,ｇ,5402,6364,2.88,13700.000,10001,11782,1781,15.12,800.000,584,20000.000,14600,ﾌﾟﾘﾝﾀ下,薬庫,,ｴﾑｴ07,660407074,,外用,ケーエスケー,0,0,0,0,0,0,1,2649843S1039,パップ剤
